  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  1.513561248436e+00  ,-7.660727526461e+01  ,-4.069199866916e+01  
  1.517050367459e+00  ,-7.649970292874e+01  ,-4.062025371111e+01  
  1.520547529732e+00  ,-7.639217593907e+01  ,-4.054853894906e+01  
  1.524052753797e+00  ,-7.628469441716e+01  ,-4.047685446412e+01  
  1.527566058238e+00  ,-7.617725848418e+01  ,-4.040520033814e+01  
  1.531087461682e+00  ,-7.606986826207e+01  ,-4.033357665259e+01  
  1.534616982799e+00  ,-7.596252387188e+01  ,-4.026198348888e+01  
  1.538154640303e+00  ,-7.585522543546e+01  ,-4.019042092860e+01  
  1.541700452950e+00  ,-7.574797307387e+01  ,-4.011888905307e+01  
  1.545254439538e+00  ,-7.564076690885e+01  ,-4.004738794403e+01  
  1.548816618912e+00  ,-7.553360706158e+01  ,-3.997591768274e+01  
  1.552387009958e+00  ,-7.542649365373e+01  ,-3.990447835085e+01  
  1.555965631605e+00  ,-7.531942680663e+01  ,-3.983307002996e+01  
  1.559552502827e+00  ,-7.521240664176e+01  ,-3.976169280145e+01  
  1.563147642641e+00  ,-7.510543328033e+01  ,-3.969034674669e+01  
  1.566751070108e+00  ,-7.499850684361e+01  ,-3.961903194739e+01  
  1.570362804334e+00  ,-7.489162745318e+01  ,-3.954774848479e+01  
  1.573982864466e+00  ,-7.478479523018e+01  ,-3.947649644043e+01  
  1.577611269699e+00  ,-7.467801029583e+01  ,-3.940527589581e+01  
  1.581248039270e+00  ,-7.457127277123e+01  ,-3.933408693211e+01  
  1.584893192461e+00  ,-7.446458277808e+01  ,-3.926292963110e+01  
  1.588546748598e+00  ,-7.435794043671e+01  ,-3.919180407367e+01  
  1.592208727051e+00  ,-7.425134586890e+01  ,-3.912071034155e+01  
  1.595879147237e+00  ,-7.414479919555e+01  ,-3.904964851606e+01  
  1.599558028615e+00  ,-7.403830053738e+01  ,-3.897861867814e+01  
  1.603245390690e+00  ,-7.393185001561e+01  ,-3.890762090933e+01  
  1.606941253013e+00  ,-7.382544775105e+01  ,-3.883665529096e+01  
  1.610645635178e+00  ,-7.371909386437e+01  ,-3.876572190399e+01  
  1.614358556826e+00  ,-7.361278847662e+01  ,-3.869482082972e+01  
  1.618080037643e+00  ,-7.350653170827e+01  ,-3.862395214929e+01  
  1.621810097359e+00  ,-7.340032368011e+01  ,-3.855311594367e+01  
  1.625548755750e+00  ,-7.329416451249e+01  ,-3.848231229400e+01  
  1.629296032640e+00  ,-7.318805432620e+01  ,-3.841154128136e+01  
  1.633051947894e+00  ,-7.308199324144e+01  ,-3.834080298663e+01  
  1.636816521428e+00  ,-7.297598137869e+01  ,-3.827009749069e+01  
  1.640589773200e+00  ,-7.287001885832e+01  ,-3.819942487463e+01  
  1.644371723215e+00  ,-7.276410580008e+01  ,-3.812878521897e+01  
  1.648162391525e+00  ,-7.265824232460e+01  ,-3.805817860481e+01  
  1.651961798229e+00  ,-7.255242855166e+01  ,-3.798760511266e+01  
  1.655769963470e+00  ,-7.244666460086e+01  ,-3.791706482317e+01  
  1.659586907438e+00  ,-7.234095059230e+01  ,-3.784655781696e+01  
  1.663412650370e+00  ,-7.223528664569e+01  ,-3.777608417464e+01  
  1.667247212551e+00  ,-7.212967288054e+01  ,-3.770564397673e+01  
  1.671090614311e+00  ,-7.202410941661e+01  ,-3.763523730356e+01  
  1.674942876026e+00  ,-7.191859637318e+01  ,-3.756486423569e+01  
  1.678804018123e+00  ,-7.181313386916e+01  ,-3.749452485315e+01  
  1.682674061070e+00  ,-7.170772202418e+01  ,-3.742421923612e+01  
  1.686553025389e+00  ,-7.160236095711e+01  ,-3.735394746502e+01  
  1.690440931643e+00  ,-7.149705078706e+01  ,-3.728370961988e+01  
  1.694337800447e+00  ,-7.139179163227e+01  ,-3.721350578044e+01  
  1.698243652462e+00  ,-7.128658361229e+01  ,-3.714333602696e+01  
  1.702158508395e+00  ,-7.118142684490e+01  ,-3.707320043896e+01  
  1.706082389003e+00  ,-7.107632144900e+01  ,-3.700309909640e+01  
  1.710015315090e+00  ,-7.097126754249e+01  ,-3.693303207905e+01  
  1.713957307508e+00  ,-7.086626524377e+01  ,-3.686299946618e+01  
  1.717908387158e+00  ,-7.076131467102e+01  ,-3.679300133766e+01  
  1.721868574986e+00  ,-7.065641594146e+01  ,-3.672303777251e+01  
  1.725837891990e+00  ,-7.055156917366e+01  ,-3.665310885053e+01  
  1.729816359215e+00  ,-7.044677448448e+01  ,-3.658321465055e+01  
  1.733803997754e+00  ,-7.034203199155e+01  ,-3.651335525187e+01  
  1.737800828749e+00  ,-7.023734181190e+01  ,-3.644353073339e+01  
  1.741806873392e+00  ,-7.013270406315e+01  ,-3.637374117429e+01  
  1.745822152920e+00  ,-7.002811886171e+01  ,-3.630398665313e+01  
  1.749846688625e+00  ,-6.992358632442e+01  ,-3.623426724880e+01  
  1.753880501842e+00  ,-6.981910656797e+01  ,-3.616458303982e+01  
  1.757923613959e+00  ,-6.971467970863e+01  ,-3.609493410487e+01  
  1.761976046412e+00  ,-6.961030586279e+01  ,-3.602532052214e+01  
  1.766037820686e+00  ,-6.950598514636e+01  ,-3.595574237003e+01  
  1.770108958317e+00  ,-6.940171767505e+01  ,-3.588619972662e+01  
  1.774189480890e+00  ,-6.929750356495e+01  ,-3.581669267011e+01  
  1.778279410039e+00  ,-6.919334293126e+01  ,-3.574722127843e+01  
  1.782378767448e+00  ,-6.908923588899e+01  ,-3.567778562908e+01  
  1.786487574852e+00  ,-6.898518255385e+01  ,-3.560838580014e+01  
  1.790605854035e+00  ,-6.888118304025e+01  ,-3.553902186890e+01  
  1.794733626833e+00  ,-6.877723746311e+01  ,-3.546969391293e+01  
  1.798870915129e+00  ,-6.867334593654e+01  ,-3.540040200942e+01  
  1.803017740860e+00  ,-6.856950857534e+01  ,-3.533114623575e+01  
  1.807174126011e+00  ,-6.846572549319e+01  ,-3.526192666878e+01  
  1.811340092620e+00  ,-6.836199680381e+01  ,-3.519274338532e+01  
  1.815515662773e+00  ,-6.825832262118e+01  ,-3.512359646235e+01  
  1.819700858610e+00  ,-6.815470305844e+01  ,-3.505448597645e+01  
  1.823895702320e+00  ,-6.805113822885e+01  ,-3.498541200384e+01  
  1.828100216143e+00  ,-6.794762824537e+01  ,-3.491637462119e+01  
