  Frequency            , V(Ve)/ I(C1)         
  2.851018267504e+00  ,7.679523508093e+04  
  2.857590543375e+00  ,7.670164446885e+04  
  2.864177969907e+00  ,7.660836746315e+04  
  2.870780582025e+00  ,7.651540322970e+04  
  2.877398414736e+00  ,7.642275093507e+04  
  2.884031503127e+00  ,7.633040974621e+04  
  2.890679882365e+00  ,7.623837883204e+04  
  2.897343587701e+00  ,7.614665736304e+04  
  2.904022654464e+00  ,7.605524450922e+04  
  2.910717118067e+00  ,7.596413944380e+04  
  2.917427014001e+00  ,7.587334133952e+04  
  2.924152377843e+00  ,7.578284937234e+04  
  2.930893245250e+00  ,7.569266271606e+04  
  2.937649651961e+00  ,7.560278054812e+04  
  2.944421633799e+00  ,7.551320204673e+04  
  2.951209226666e+00  ,7.542392639164e+04  
  2.958012466551e+00  ,7.533495276129e+04  
  2.964831389524e+00  ,7.524628033856e+04  
  2.971666031738e+00  ,7.515790830630e+04  
  2.978516429429e+00  ,7.506983584636e+04  
  2.985382618918e+00  ,7.498206214472e+04  
  2.992264636608e+00  ,7.489458638766e+04  
  2.999162518988e+00  ,7.480740776220e+04  
  3.006076302628e+00  ,7.472052545649e+04  
  3.013006024186e+00  ,7.463393865818e+04  
  3.019951720402e+00  ,7.454764655942e+04  
  3.026913428101e+00  ,7.446164835142e+04  
  3.033891184194e+00  ,7.437594322823e+04  
  3.040885025676e+00  ,7.429053038124e+04  
  3.047894989628e+00  ,7.420540900764e+04  
  3.054921113215e+00  ,7.412057830283e+04  
  3.061963433691e+00  ,7.403603746461e+04  
  3.069021988391e+00  ,7.395178569026e+04  
  3.076096814741e+00  ,7.386782217987e+04  
  3.083187950249e+00  ,7.378414613516e+04  
  3.090295432514e+00  ,7.370075675683e+04  
  3.097419299217e+00  ,7.361765324759e+04  
  3.104559588128e+00  ,7.353483481260e+04  
  3.111716337106e+00  ,7.345230065689e+04  
  3.118889584094e+00  ,7.337004998617e+04  
  3.126079367124e+00  ,7.328808200908e+04  
  3.133285724316e+00  ,7.320639593365e+04  
  3.140508693876e+00  ,7.312499096907e+04  
  3.147748314101e+00  ,7.304386632698e+04  
  3.155004623375e+00  ,7.296302122018e+04  
  3.162277660168e+00  ,7.288245486043e+04  
  3.169567463043e+00  ,7.280216646284e+04  
  3.176874070650e+00  ,7.272215524323e+04  
  3.184197521726e+00  ,7.264242041639e+04  
  3.191537855101e+00  ,7.256296120174e+04  
  3.198895109691e+00  ,7.248377681856e+04  
  3.206269324505e+00  ,7.240486648553e+04  
  3.213660538640e+00  ,7.232622942337e+04  
  3.221068791283e+00  ,7.224786485743e+04  
  3.228494121713e+00  ,7.216977200766e+04  
  3.235936569296e+00  ,7.209195009998e+04  
  3.243396173493e+00  ,7.201439836060e+04  
  3.250872973854e+00  ,7.193711601467e+04  
  3.258367010020e+00  ,7.186010229246e+04  
  3.265878321723e+00  ,7.178335642187e+04  
  3.273406948788e+00  ,7.170687763241e+04  
  3.280952931131e+00  ,7.163066515606e+04  
  3.288516308760e+00  ,7.155471822638e+04  
  3.296097121774e+00  ,7.147903607592e+04  
  3.303695410368e+00  ,7.140361793880e+04  
  3.311311214826e+00  ,7.132846305206e+04  
  3.318944575526e+00  ,7.125357065302e+04  
  3.326595532940e+00  ,7.117893997930e+04  
  3.334264127632e+00  ,7.110457026965e+04  
  3.341950400261e+00  ,7.103046076486e+04  
  3.349654391578e+00  ,7.095661070779e+04  
  3.357376142429e+00  ,7.088301933979e+04  
  3.365115693755e+00  ,7.080968590513e+04  
  3.372873086589e+00  ,7.073660964838e+04  
  3.380648362060e+00  ,7.066378981704e+04  
  3.388441561392e+00  ,7.059122565798e+04  
  3.396252725904e+00  ,7.051891641836e+04  
  3.404081897010e+00  ,7.044686134962e+04  
  3.411929116219e+00  ,7.037505970167e+04  
  3.419794425137e+00  ,7.030351072561e+04  
  3.427677865464e+00  ,7.023221367548e+04  
  3.435579478999e+00  ,7.016116780515e+04  
