  Frequency            , dB( V(Vs4)/ V(Ve))   
  2.488857318282e+00  ,-5.054650352881e+01  
  2.494594726943e+00  ,-5.046298880428e+01  
  2.500345361696e+00  ,-5.037951865722e+01  
  2.506109253032e+00  ,-5.029609312336e+01  
  2.511886431510e+00  ,-5.021271223783e+01  
  2.517676927759e+00  ,-5.012937603566e+01  
  2.523480772481e+00  ,-5.004608455129e+01  
  2.529297996446e+00  ,-4.996283781851e+01  
  2.535128630498e+00  ,-4.987963587097e+01  
  2.540972705549e+00  ,-4.979647874181e+01  
  2.546830252585e+00  ,-4.971336646371e+01  
  2.552701302661e+00  ,-4.963029906899e+01  
  2.558585886906e+00  ,-4.954727658941e+01  
  2.564484036518e+00  ,-4.946429905658e+01  
  2.570395782769e+00  ,-4.938136650114e+01  
  2.576321157003e+00  ,-4.929847895373e+01  
  2.582260190635e+00  ,-4.921563644437e+01  
  2.588212915153e+00  ,-4.913283900297e+01  
  2.594179362119e+00  ,-4.905008665844e+01  
  2.600159563165e+00  ,-4.896737943972e+01  
  2.606153549999e+00  ,-4.888471737496e+01  
  2.612161354399e+00  ,-4.880210049242e+01  
  2.618183008219e+00  ,-4.871952881906e+01  
  2.624218543384e+00  ,-4.863700238216e+01  
  2.630267991895e+00  ,-4.855452120827e+01  
  2.636331385825e+00  ,-4.847208532334e+01  
  2.642408757322e+00  ,-4.838969475317e+01  
  2.648500138607e+00  ,-4.830734952292e+01  
  2.654605561975e+00  ,-4.822504965728e+01  
  2.660725059799e+00  ,-4.814279518047e+01  
  2.666858664521e+00  ,-4.806058611653e+01  
  2.673006408663e+00  ,-4.797842248883e+01  
  2.679168324819e+00  ,-4.789630432016e+01  
  2.685344445658e+00  ,-4.781423163316e+01  
  2.691534803927e+00  ,-4.773220444987e+01  
  2.697739432445e+00  ,-4.765022279193e+01  
  2.703958364109e+00  ,-4.756828668007e+01  
  2.710191631891e+00  ,-4.748639613538e+01  
  2.716439268839e+00  ,-4.740455117796e+01  
  2.722701308078e+00  ,-4.732275182748e+01  
  2.728977782808e+00  ,-4.724099810333e+01  
  2.735268726307e+00  ,-4.715929002408e+01  
  2.741574171928e+00  ,-4.707762760851e+01  
  2.747894153102e+00  ,-4.699601087421e+01  
  2.754228703338e+00  ,-4.691443983894e+01  
  2.760577856220e+00  ,-4.683291451935e+01  
  2.766941645411e+00  ,-4.675143493201e+01  
  2.773320104652e+00  ,-4.667000109304e+01  
  2.779713267759e+00  ,-4.658861301823e+01  
  2.786121168630e+00  ,-4.650727072253e+01  
  2.792543841237e+00  ,-4.642597422060e+01  
  2.798981319634e+00  ,-4.634472352666e+01  
  2.805433637952e+00  ,-4.626351865450e+01  
  2.811900830399e+00  ,-4.618235961719e+01  
  2.818382931264e+00  ,-4.610124642776e+01  
  2.824879974916e+00  ,-4.602017909870e+01  
  2.831391995799e+00  ,-4.593915764144e+01  
  2.837919028441e+00  ,-4.585818206757e+01  
  2.844461107448e+00  ,-4.577725238821e+01  
  2.851018267504e+00  ,-4.569636861357e+01  
  2.857590543375e+00  ,-4.561553075389e+01  
  2.864177969907e+00  ,-4.553473881856e+01  
