  Frequency            , P( V(Vs4))           
  2.985382618918e+00  ,-1.888559733640e+02  
  2.992264636608e+00  ,-1.890080355619e+02  
  2.999162518988e+00  ,-1.891601448704e+02  
  3.006076302628e+00  ,-1.893123007225e+02  
  3.013006024186e+00  ,-1.894645025502e+02  
  3.019951720402e+00  ,-1.896167497889e+02  
  3.026913428101e+00  ,-1.897690418740e+02  
  3.033891184194e+00  ,-1.899213782413e+02  
  3.040885025676e+00  ,-1.900737583241e+02  
  3.047894989628e+00  ,-1.902261815615e+02  
  3.054921113215e+00  ,-1.903786473899e+02  
  3.061963433691e+00  ,-1.905311552460e+02  
  3.069021988391e+00  ,-1.906837045685e+02  
  3.076096814741e+00  ,-1.908362947963e+02  
  3.083187950249e+00  ,-1.909889253695e+02  
  3.090295432514e+00  ,-1.911415957273e+02  
  3.097419299217e+00  ,-1.912943053118e+02  
  3.104559588128e+00  ,-1.914470535634e+02  
  3.111716337106e+00  ,-1.915998399263e+02  
  3.118889584094e+00  ,-1.917526638420e+02  
  3.126079367124e+00  ,-1.919055247562e+02  
  3.133285724316e+00  ,-1.920584221127e+02  
  3.140508693876e+00  ,-1.922113553569e+02  
  3.147748314101e+00  ,-1.923643239359e+02  
  3.155004623375e+00  ,-1.925173272974e+02  
  3.162277660168e+00  ,-1.926703648882e+02  
  3.169567463043e+00  ,-1.928234361588e+02  
  3.176874070650e+00  ,-1.929765405595e+02  
  3.184197521726e+00  ,-1.931296775397e+02  
  3.191537855101e+00  ,-1.932828465519e+02  
  3.198895109691e+00  ,-1.934360470504e+02  
  3.206269324505e+00  ,-1.935892784882e+02  
  3.213660538640e+00  ,-1.937425403190e+02  
  3.221068791283e+00  ,-1.938958320021e+02  
  3.228494121713e+00  ,-1.940491529920e+02  
  3.235936569296e+00  ,-1.942025027470e+02  
  3.243396173493e+00  ,-1.943558807269e+02  
  3.250872973854e+00  ,-1.945092863909e+02  
  3.258367010020e+00  ,-1.946627192030e+02  
  3.265878321723e+00  ,-1.948161786237e+02  
  3.273406948788e+00  ,-1.949696641173e+02  
  3.280952931131e+00  ,-1.951231751484e+02  
  3.288516308760e+00  ,-1.952767111850e+02  
  3.296097121774e+00  ,-1.954302716926e+02  
  3.303695410368e+00  ,-1.955838561398e+02  
  3.311311214826e+00  ,-1.957374639979e+02  
  3.318944575526e+00  ,-1.958910947379e+02  
  3.326595532940e+00  ,-1.960447478313e+02  
  3.334264127632e+00  ,-1.961984227522e+02  
  3.341950400261e+00  ,-1.963521189756e+02  
  3.349654391578e+00  ,-1.965058359788e+02  
  3.357376142429e+00  ,-1.966595732401e+02  
  3.365115693755e+00  ,-1.968133302363e+02  
  3.372873086589e+00  ,-1.969671064496e+02  
  3.380648362060e+00  ,-1.971209013640e+02  
  3.388441561392e+00  ,-1.972747144608e+02  
  3.396252725904e+00  ,-1.974285452246e+02  
  3.404081897010e+00  ,-1.975823931429e+02  
  3.411929116219e+00  ,-1.977362577035e+02  
  3.419794425137e+00  ,-1.978901383962e+02  
  3.427677865464e+00  ,-1.980440347106e+02  
  3.435579478999e+00  ,-1.981979461416e+02  
  3.443499307633e+00  ,-1.983518721817e+02  
  3.451437393358e+00  ,-1.985058123266e+02  
  3.459393778261e+00  ,-1.986597660740e+02  
  3.467368504525e+00  ,-1.988137329228e+02  
  3.475361614432e+00  ,-1.989677123744e+02  
  3.483373150360e+00  ,-1.991217039297e+02  
  3.491403154786e+00  ,-1.992757070934e+02  
  3.499451670283e+00  ,-1.994297213701e+02  
  3.507518739526e+00  ,-1.995837462677e+02  
  3.515604405283e+00  ,-1.997377812958e+02  
  3.523708710425e+00  ,-1.998918259648e+02  
  3.531831697919e+00  ,-2.000458797862e+02  
  3.539973410834e+00  ,-2.001999422750e+02  
  3.548133892336e+00  ,-2.003540129476e+02  
  3.556313185690e+00  ,-2.005080913218e+02  
  3.564511334262e+00  ,-2.006621769162e+02  
  3.572728381519e+00  ,-2.008162692523e+02  
  3.580964371026e+00  ,-2.009703678558e+02  
  3.589219346450e+00  ,-2.011244722494e+02  
