  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  2.218196419800e+00  ,-5.945949249127e+01  ,-2.925525113373e+01  
  2.223309890651e+00  ,-5.936102474955e+01  ,-2.918958213322e+01  
  2.228435149270e+00  ,-5.926262032976e+01  ,-2.912395549513e+01  
  2.233572222830e+00  ,-5.916427931183e+01  ,-2.905837127462e+01  
  2.238721138568e+00  ,-5.906600177509e+01  ,-2.899282952629e+01  
  2.243881923783e+00  ,-5.896778779842e+01  ,-2.892733030483e+01  
  2.249054605836e+00  ,-5.886963746021e+01  ,-2.886187366420e+01  
  2.254239212152e+00  ,-5.877155083833e+01  ,-2.879645965812e+01  
  2.259435770221e+00  ,-5.867352801001e+01  ,-2.873108834001e+01  
  2.264644307593e+00  ,-5.857556905182e+01  ,-2.866575976282e+01  
  2.269864851884e+00  ,-5.847767404026e+01  ,-2.860047397944e+01  
  2.275097430772e+00  ,-5.837984305081e+01  ,-2.853523104222e+01  
  2.280342072000e+00  ,-5.828207615860e+01  ,-2.847003100299e+01  
  2.285598803375e+00  ,-5.818437343809e+01  ,-2.840487391349e+01  
  2.290867652768e+00  ,-5.808673496362e+01  ,-2.833975982506e+01  
  2.296148648112e+00  ,-5.798916080827e+01  ,-2.827468878832e+01  
